group,metric,n_scored,fraction_lt_0,n,mean,median,std,q25,q75,ci_low,ci_high,skip_counts
stable_wrong_different,clean_model_swap_rationale_clean_minus_swap_margin_norm,82,0.8048780487804879,82,-1.7092032215976338,-1.8771305481592813,2.065033753070603,-3.5329194718173573,-0.0687258243560791,-2.1586824204091215,-1.2735690290996002,
stable_wrong_different,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,82,0.10975609756097561,82,2.490834834542379,2.768201751324038,1.6580889873366635,1.1781305919090905,3.775192772058238,2.1656291495694906,2.8613786575338094,
stable_wrong_different,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,82,0.7804878048780488,82,-1.5711391130386099,-1.8133067886034648,1.7928823136774483,-3.0862170824160176,-0.09535864492257437,-1.936855264728801,-1.1908317077545398,
stable_wrong_different,clean_model_rationale_effect_norm,82,0.9390243902439024,82,-4.679334499708992,-5.064072345339117,3.1064729336356685,-6.813091880729189,-2.40828137982171,-5.3940028867254775,-4.053456291754993,
stable_wrong_different,direct_swap_model_rationale_effect_norm,82,0.9146341463414634,82,-4.061973947580989,-4.28471241844818,2.6711420121619995,-5.735094772496571,-1.9101561962161213,-4.604074019992786,-3.485332218234641,
stable_wrong_different,model_effect_clean_rationale_norm,82,0.8170731707317073,82,-0.47929644356897855,-0.526145420386456,0.4563254070999992,-0.7851559489034116,-0.12452199735811764,-0.5797539172249978,-0.38254055758865796,
stable_wrong_different,model_effect_swap_rationale_norm,82,0.32926829268292684,82,0.13806410855902423,0.19188732778032636,0.40252534022148184,-0.09244793156782788,0.4193160058154414,0.04372206348837038,0.22394637757859084,
stable_wrong_different,clean_model_rationale_effect_raw,82,0.9390243902439024,82,-15.595277902556628,-15.85792295075953,10.509232615435334,-22.618852895102464,-8.667521715164185,-17.94416280546163,-13.191172946085473,
stable_wrong_different,direct_swap_model_rationale_effect_raw,82,0.926829268292683,82,-13.666327295949818,-14.116442207247019,9.20670613499117,-20.25029524206184,-6.863735109567642,-15.498302254512076,-11.716497986040805,
stable_wrong_different,model_effect_clean_rationale_raw,82,0.8536585365853658,82,-1.3572992185903032,-1.5061979563906789,1.1493495862603587,-2.0302333934232593,-0.6045595407485962,-1.6021937310465657,-1.1193844958097767,
stable_wrong_different,model_effect_swap_rationale_raw,82,0.34146341463414637,82,0.5716513880165066,0.6530174612998962,1.2043406172796338,-0.24609388411045074,1.3031476885080338,0.316708613968477,0.8452235496905348,
skip_counts,skip_counts,155,,,,,,,,,,"{""clean_answer_equals_swap_answer"": 95}"
